name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
H&F AUTO REPAIR INC,CORPORATION,PA,,,,PA,265 W ALLEGHENY AVE,PHILADELPHIA,19133,6412432,,,265 W ALLEGHENY AVE PHILADELPHIA PA 19133 PHILADELPHIA,
BONES AND DOZER INC,CORPORATION,PA,,,,,,,,6412433,,,%REGISTERED AGENTS INC MONTGOMERY,
ULLOA MINI MARKET INC,CORPORATION,PA,,,,PA,1701 S 20TH STREET,PHILADELPHIA,19145,6412434,,,1701 S 20TH STREET PHILADELPHIA PA 19145 PHILADELPHIA,
ZACHARY FOUNDATION,NONPROFIT,PA,,,,PA,"321 JONES BLVD, SUITE 112",POTTSTOWN,19464,6412435,,,"321 JONES BLVD, SUITE 112 POTTSTOWN PA 19464 MONTGOMERY",
RU'ACH MINISTRIES INTERNATIONAL,NONPROFIT,PA,,,,PA,100 SOUTH PENN STREET,CLIFTON HEIGHTS,19018,6412437,,,100 SOUTH PENN STREET CLIFTON HEIGHTS PA 19018 DELAWARE,
"E3 HR, INC.",CORPORATION,NJ,,,,,,,,6412438,,,%COGENCY GLOBAL INC. DAUPHIN,
DAVIDSON SPECIALTY FOODS LLC,LLC,DE,,,,,,,,6412440,,,%CT CORPORATION SYSTEM DAUPHIN,
"NORTHSTAR CONSTRUCTION MANAGEMENT COMPANY, INC.",CORPORATION,MO,,,,,,,,6412441,HOWARD MANGUM,PRESIDENT,"%INCORP SERVICES, INC. DAUPHIN",
FRONT STREET HOLDINGS LLC,LLC,PA,,,,PA,223-2225 MARKET STREET,PHILADELPHIA,19106,6412443,,,223-2225 MARKET STREET PHILADELPHIA PA 19106 PHILADELPHIA,
"MOTIVBOX, LLC",LLC,WY,,,,PA,320 COMMONS DR SUITE #319,PARKESBURG,19365,6412444,,,320 COMMONS DR SUITE #319 PARKESBURG PA 19365 OUT OF STATE,
