name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
E.H. BEILER INDUSTRIAL INC,CORPORATION,PA,,,,PA,227 STATE ST,HARRISBURG,17101,4500011,,,227 STATE ST HARRISBURG PA 17101 DAUPHIN,
"8595 OLD ROUTE 13, LLC",LLC,PA,,,,PA,55 FRIENDLY LANE,LEVITTOWN,19055,4500024,,,55 FRIENDLY LANE LEVITTOWN PA 19055 BUCKS,
"ARMENIA MOUNTAIN WIND II, LLC",LLC,UNITED STATES,,,,,,,,4500027,,,%CORPORATION SERVICE COMPANY DAUPHIN,
CONSTRUCTION WITH A CAUSE,CORPORATION,PA,399 SULLIVAN TRAIL,POCONO PINES,18350,PA,339 SULLIVAN TRAIL,POCONO PINES,18350,4500037,JUSTIN BARTELL,OWNER,339 SULLIVAN TRAIL POCONO PINES PA 18350,399 SULLIVAN TRAIL POCONO PINES PA 18350
HERSHEY CANDY AND CHOCOLATE LLC,LLC,NAN,,,,PA,56 MAIN ST,HARRISBURG,17120,4500062,,,56 MAIN ST HARRISBURG PA 17120 DAUPHIN,
EXXON MEGA EXPRESS,CORPORATION,PA,928 CHARTIERS AVE,PITTSBURGH,15301,PA,326 RIDGE AVE,WASHINGTON,15301,4500066,LATHIA INVESTMENTS LLC,OWNER,326 RIDGE AVE WASHINGTON PA 15301 WASHINGTON,928 CHARTIERS AVE PITTSBURGH PA 15220
EVOLUTION DESIGNS,CORPORATION,PA,278 W. WELLENS AVENUE,PHILADELPHIA,19120,PA,278 W. WELLENS AVENUE,PHILADELPHIA,19120,4500068,ISAIAH HARRISON,OWNER,278 W. WELLENS AVENUE PHILADELPHIA PA 19120 PHILADELPHIA,278 W. WELLENS AVENUE PHILADELPHIA PA 19120
HOMES FOR THE HOLIDAYS,CORPORATION,PA,703 FAYETTE AVENUE,BELLE VERNON,15012,PA,703 FAYETTE AVENUE,BELLE VERNON,15012,4500071,B. KIMBERLY CICCARELLI,OWNER,703 FAYETTE AVENUE BELLE VERNON PA 15012 FAYETTE,703 FAYETTE AVENUE BELLE VERNON PA 15012
"NORRITON AUTO SERVICE, LLC.",LLC,PA,,,,PA,229 W GERMANTOWN PIKE,NORRISTOWN,19401,4500077,,,229 W GERMANTOWN PIKE NORRISTOWN PA 19401,
HASSANS AUTO SERVICE,CORPORATION,PA,317 CLEARFIELD AVE,AUDUBON,19401,PA,229 W GERMANTOWN PIKE,NORRISTOWN,19401,4500079,MOHAMMED H QAWASMY,OWNER,229 W GERMANTOWN PIKE NORRISTOWN PA 19401,317 CLEARFIELD AVE AUDUBON PA 19403
