name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
EASYENOUGH,CORPORATION,PA,454 BACKBONE ROAD,SEWICKLEY,15143,PA,454 BACKBONE ROAD,SEWICKLEY,15143,7275644,"HARVEST WITH BLOOM, INC.",OWNER,454 BACKBONE ROAD SEWICKLEY PA 15143 ALLEGHENY,454 BACKBONE ROAD SEWICKLEY PA 15143
MOON CHILD WORK SPACES,CORPORATION,PA,616 DEKALB STREET,NORRISTOWN,19401,PA,616 DEKALB STREET,NORRISTOWN,19401,7275645,MOON CHILD PROPERTIES GROUP,OWNER,616 DEKALB STREET NORRISTOWN PA 19401 MONTGOMERY,616 DEKALB STREET NORRISTOWN PA 19401
KOALA INSULATION OF CHESTER COUNTY,CORPORATION,PA,103 FARMHOUSE DR,EXTON,19341,PA,103 FARMHOUSE DR.,EXTON,19341,7275646,GANG WARILY INC,OWNER,103 FARMHOUSE DR. EXTON PA 19341 CHESTER,103 FARMHOUSE DR EXTON PA 19341
CASH DISH ATMS LLC,LLC,PA,,,,,,,,7275647,,,"%UNITED STATES CORPORATION AGENTS, INC. LEHIGH",
JM OUTDOOR SERVICES LLC,LLC,PA,,,,,,,,7275648,,,"%UNITED STATES CORPORATION AGENTS, INC. LEHIGH",
"SIMPLE SIMON, L.L.C.",LLC,PA,,,,PA,49 UNIVERSITY DRIVE,DUNMORE,18512,7275654,,,49 UNIVERSITY DRIVE DUNMORE PA 18512 LACKAWANNA,
NEXT LEVEL 412 LLC,LLC,PA,,,,PA,109 LONGFELLOW CT,PITTSBURGH,15218,7275657,,,109 LONGFELLOW CT PITTSBURGH PA 15218 ALLEGHENY,
VETERANS CHOICE REALTY LLC,LLC,PA,,,,PA,201 S BLAKEY ST #208,DUNMORE,18512,7275658,,,201 S BLAKEY ST #208 DUNMORE PA 18512 LACKAWANNA,
VALIANT TRANSPORT INC.,CORPORATION,PA,,,,PA,600 OAK DRIVE #89,HARLEYSVILLE,19438,7275660,,,600 OAK DRIVE #89 HARLEYSVILLE PA 19438 MONTGOMERY,
FUTURE MEMORIES LLC,LLC,PA,,,,,,,,7275665,,,"%NORTHWEST REGISTERED AGENT, LLC MONTGOMERY",
