name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
THE CORPORAL'S CREASE,CORPORATION,PA,,,,PA 19149-0 PHILADELPHIA,3242 WELLINGTON ST,PHILADELPHIA,,3082900,JOHN KENNY,OWNER,3242 WELLINGTON ST PHILADELPHIA PA 19149-0 PHILADELPHIA,
OLGA'S CELEBRATION'S & MORE,CORPORATION,PA,,,,PA 19111-0 PHILADELPHIA,928 LEVICK ST,PHILADELPHIA,,3082901,OLGA FONTAN,OWNER,928 LEVICK ST PHILADELPHIA PA 19111-0 PHILADELPHIA,
ABX MULTIMEDIA GROUP,CORPORATION,PA,,,,,,,,3082902,CAVALIER GROUP INC,OWNER,1744 DEKALB PIKE STE 155 BLUE BELL PA 19422-0 MONTGOMERY,
SKYWAY JANITORIAL SERVICE,CORPORATION,PA,,,,PA,4632 S CLEARVIEW DR,CAMP HILL,17011-4017,3082903,DAVID THOMAS,OWNER,4632 S CLEARVIEW DR CAMP HILL PA 17011-4017 CUMBERLAND,
UPPER BUCKS BUILDING GROUP,CORPORATION,PA,,,,PA,6232 DURHAM RD,PIPERSVILLE,,3082904,CHRISTOPHER B SHIVO,OWNER,6232 DURHAM RD PIPERSVILLE PA 18947-0 BUCKS,
J.R. HOME IMPROVEMENT,CORPORATION,PA,,,,PA 19130-0 PHILADELPHIA,1834 W GIRARD AVE,PHILADELPHIA,,3082905,CLARENCE GUICE,OWNER,1834 W GIRARD AVE PHILADELPHIA PA 19130-0 PHILADELPHIA,
"MILSTEIN MEDICAL GROUP, INC.",CORPORATION,PA,1123 WOODWARD DR,GREENSBURG,,PA 15601-0 WESTMORELAND,RD 6 BOX 560,GREENSBURG,,3082907,SCOTT MILSTEIN,TREASURER,RD 6 BOX 560 GREENSBURG PA 15601-0 WESTMORELAND,1123 WOODWARD DR GREENSBURG PA 15601-6416
MAD DOG DESIGN GROUP,CORPORATION,PA,,,,PA,1155 N ULSTER ST,ALLENTOWN,18109-0,3082908,TRACEY WASHITZKO,OWNER,1155 N ULSTER ST ALLENTOWN PA 18109-0 LEHIGH,
INCITE HEALTHCARE STAFFING INC,CORPORATION,PA,228 E CHELTEN AVE,PHILADELPHIA,,PA 19119-0 PHILADELPHIA,218 E CLIVEDEN ST,PHILADELPHIA,,3082909,TERRI BROOKS,PRESIDENT,218 E CLIVEDEN ST PHILADELPHIA PA 19119-0 PHILADELPHIA,228 E CHELTEN AVE PHILADELPHIA PA 19144-51
RESOURCE SELECT,CORPORATION,PA,,,,PA 18343-0 NORTHAMPTON,576 S DELAWARE DR,MOUNT BETHEL,,3082910,VICTORIA K MAVIS,OWNER,576 S DELAWARE DR MOUNT BETHEL PA 18343-0 NORTHAMPTON,
MB DESIGNS INC.,CORPORATION,PA,8405 ARDLEIGH ST,PHILADELPHIA,,PA 19118-0 PHILADELPHIA,8405 ARDLEIGH ST,PHILADELPHIA,,3082911,MICHZEL C BAVELE,PRESIDENT,8405 ARDLEIGH ST PHILADELPHIA PA 19118-0 PHILADELPHIA,8405 ARDLEIGH ST PHILADELPHIA PA 19118-51
GRUMPA'S MOBILE LUNCH,CORPORATION,PA,,,,PA,3102 SEISHOLTZVILLE RD,MACUNGIE,18062-0,3082912,ANDY J CARR,OWNER,3102 SEISHOLTZVILLE RD MACUNGIE PA 18062-0 LEHIGH,
THE PHOTO BARN,CORPORATION,PA,,,,,,,,3082913,THERESA VRABEL,OWNER,6474 SULLIVAN TRAIL WIND GAP PA 18091-0 NORTHAMPTON,
