name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
HARRY'S CLEANING SERVICE,CORPORATION,PA,,,,PA 19154-0 PHILADELPHIA,3603 NANTON TERRACE,PHILADELPHIA,,3000000,HARRY G THARP III,OWNER,3603 NANTON TERRACE PHILADELPHIA PA 19154-0 PHILADELPHIA,
LOAN SERVICING CENTER,CORPORATION,PA,,,,PA,3815 S W TEMPLE,SALT LAKE CITY,84115-4412,3000001,FAIRBANKS CAPITAL CORP,OWNER,3815 S W TEMPLE SALT LAKE CITY PA 84115-4412,
SCENE-ICS,CORPORATION,PA,,,,PA 17370-0 YORK,2630 OLD TRAIL RD,YORK HAVEN,,3000002,DONALD B UTTER,OWNER,2630 OLD TRAIL RD YORK HAVEN PA 17370-0 YORK,
LYCAEIDES,CORPORATION,PA,,,,PA 19014-0 DELAWARE,1586 HIGHPOINT LANE,ASTON,,3000003,LOIS S LONG,OWNER,1586 HIGHPOINT LANE ASTON PA 19014-0 DELAWARE,
DECK MASTERS OF PENNSYLVANIA,CORPORATION,PA,,,,PA 17225-0 FRANKLIN,3553 BARR RD,GREENCASTLE,,3000004,SHERI K DECKER,OWNER,3553 BARR RD GREENCASTLE PA 17225-0 FRANKLIN,
STAR BRITE CLEANING,CORPORATION,PA,,,,PA 19026-0 DELAWARE,904 MASON AVE,DREXEL HILL,,3000005,ROBERT CORNETT,OWNER,904 MASON AVE DREXEL HILL PA 19026-0 DELAWARE,
"HIS HANDS INTERNATIONAL MINISTRIES, INC.",CORPORATION,PA,PO BOX 91,ALEXANDRIA,,,,,,3000006,DANIEL ALWAY,PRESIDENT,RR#2 BOX 205A HUNTINGDON PA 16652-0 HUNTINGDON,PO BOX 91 ALEXANDRIA PA 16611-31
"CLASS DEVELOPERS, L.L.P.",PARTNERSHIP,PA,,,,PA,742 MAIN ST,HONESDALE,,3000007,THOMAS J CUSH,GENPARTNER,742 MAIN ST HONESDALE PA 18431-0 WAYNE,PA
GIRARD AVENUE - BROAD STREET C.D.C. (COMMUNITY DEVELOPMENT CORPORATION) INC.,NONPROFIT,PA,1354 WEST GIRARD AVENUE,PHILADELPHIA,19119,PA,329 E. GORGAS LANE,PHILADELPHIA,19119,3000008,SHERRI B DARDEN,PRESIDENT,329 E. GORGAS LANE PHILADELPHIA PA 19119 PHILADELPHIA,1354 WEST GIRARD AVENUE PHILADELPHIA PA 19123
G.A. PULEO & ASSOCIATES,CORPORATION,PA,,,,PA 15401-0 FAYETTE,5 MAYFLOWER DR,UNIONTOWN,,3000010,GERI PULEO,OWNER,5 MAYFLOWER DR UNIONTOWN PA 15401-0 FAYETTE,
