name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"IN TIME OF NEED, LLC",LLC,PA,,,,PA,350 SPRAGUE RD,PENN VALLEY,19072,4192744,,,350 SPRAGUE RD PENN VALLEY PA 19072 MONTGOMERY,
"ABYDOS INNOVATIONS, LLC",LLC,OH,,,,,,,,4192745,,,%CT CORPORATION SYSTEM DAUPHIN,
BJP CHESTNUT OWNER LLC,LLC,DE,,,,,,,,4192747,,,%CT CORPORATION SYSTEM DAUPHIN,
IC ENABLE LLC,LLC,TX,,,,,,,,4192748,,,%CT CORPORATION SYSTEM DAUPHIN,
"ATLANTIC COAST SURETY, LLC",LLC,NJ,,,,,,,,4192749,,,"%CAPITOL CORPORATE SERVICES, INC. DAUPHIN",
MICROMONT HOLDINGS 6 LLC,LLC,TX,,,,,,,,4192750,,,"%CAPITOL CORPORATE SERVICES, INC. DAUPHIN",
"R2 ARCHITECTS, LLC",LLC,NJ,,,,,,,,4192751,,,%FARVEN INC. PHILADELPHIA (TERMINATED),
1821 PARK ST LLC,LLC,PA,,,,PA,141 TORY CIRCLE,ENOLA,17025,4192753,,,141 TORY CIRCLE ENOLA PA 17025 CUMBERLAND,
"BUCKS IP SPE I, LLC",LLC,DE,,,,PA,ONE BELMONT AVE SUITE 300,BALA CYNWYD,19004,4192754,,,ONE BELMONT AVE SUITE 300 BALA CYNWYD PA 19004 MONTGOMERY,
GPT EMMAUS BRANCH OWNER GP LLC,LLC,DE,,,,,,,,4192755,,,"%NATIONAL REGISTERED AGENTS, INC. DAUPHIN",
"EDGEMARK LITTLETON, LLC",LLC,CO,,,,,,,,4192756,,,%CORPORATION SERVICE COMPANY DAUPHIN,
360 PILGERT LLC,LLC,PA,,,,PA,526 WALNUT STREET,ALLENTOWN,18101,4192757,,,526 WALNUT STREET ALLENTOWN PA 18101 LEHIGH,
ALL TIRES CENTER LLC,LLC,PA,,,,PA,252 N LINCOLN AVE,LEBANON,17046,4192758,,,252 N LINCOLN AVE LEBANON PA 17046 LEBANON,
"BRIDGES & LEVIN EDUCATIONAL ASSOCIATES, LLC",LLC,PA,,,,,,,,4192759,,,"%INCORP SERVICES, INC. DAUPHIN",
"A2Z PRESSURE WASHING, LLC",LLC,PA,,,,PA,107 ZERNICH DR,ALIQUIPPA,15001,4192760,,,107 ZERNICH DR ALIQUIPPA PA 15001 BEAVER,
DIXON FAMILY LIMITED PARTNERSHIP,PARTNERSHIP,PA,101 EAST THIRD STREET,LEWISTOWN,17109,PA,3805 DARBY RD,HARRISBURG,17109,4192762,REBECCA ANN SCOTT,GENPARTNER,3805 DARBY RD HARRISBURG PA 17109 DAUPHIN,101 EAST THIRD STREET LEWISTOWN PA 17044
GPT EMMAUS BRANCH OWNER LP,PARTNERSHIP,DE,420 LEXINGTON AVE 18TH FL,NEW YORK,,,,,,4192763,GPT EMMAUS BRANCH OWNER GP LLC,GENPARTNER,"%NATIONAL REGISTERED AGENTS, INC. DAUPHIN",420 LEXINGTON AVE 18TH FL NEW YORK NY 10170
SHEDWATER LLC,LLC,PA,,,,PA,52 WEST FORGE ROAD,GLEN MILLS,19342,4192764,,,52 WEST FORGE ROAD GLEN MILLS PA 19342 DELAWARE,
LWR HOLDINGS LLC,LLC,PA,,,,PA,"3139 WILSON AVENUE, SUITE A",BETHLEHEM,18020,4192765,,,"3139 WILSON AVENUE, SUITE A BETHLEHEM PA 18020 NORTHAMPTON",
"ILONA NARODITSKIY, LLC",LLC,PA,,,,PA,82 BUCK RD 3RD FL,HOLLAND,18966,4192766,,,82 BUCK RD 3RD FL HOLLAND PA 18966 BUCKS,
"SCHWAGER VILLA, LLC",LLC,PA,,,,PA,138 SOUTH MAIN STREET,WILKES BARRE,18701,4192767,,,138 SOUTH MAIN STREET WILKES BARRE PA 18701 LUZERNE,
CN NAVETTA ENTERPRISES LLC,LLC,PA,,,,PA,1502 KNOLLCREST ROAD,HARRISBURG,17112,4192768,,,1502 KNOLLCREST ROAD HARRISBURG PA 17112 DAUPHIN,
ROCK DA RESERVIOR,CORPORATION,PA,,,,PA,1617A CHADWICK CIRCLE,LANCASTER,17603,4192769,,,1617A CHADWICK CIRCLE LANCASTER PA 17603 LANCASTER,
DR. J. M. HYSON MEMORIAL COURT NO. 106 - PAST OFFICERS,CORPORATION,PA,,,,PA,2725 WATER ST,YORK,17403,4192770,,,2725 WATER ST YORK PA 17403 YORK,
THE CIGAR TUBE,CORPORATION,PA,1602 SUMMIT POINTE,SCRANTON,18508,PA,1602 SUMMIT POINTE,SCRANTON,18508,4192771,"ROBERT MARTIN MURPHY , III",OWNER,1602 SUMMIT POINTE SCRANTON PA 18508 LACKAWANNA,1602 SUMMIT POINTE SCRANTON PA 18508
POOP N' AT,CORPORATION,PA,1244 MCCLURE AVENUE EAST,MCKEESPORT,15035,PA,1244 MCCLURE AVENUE EAST,MCKEESPORT,15035,4192772,PERRIELLO ENTERPRISES LLC,OWNER,1244 MCCLURE AVENUE EAST MCKEESPORT PA 15035 ALLEGHENY,1244 MCCLURE AVENUE EAST MCKEESPORT PA 15035
BUTTERCUP WOODLANDS CAMPGROUND,CORPORATION,PA,854 EVANS CITY RD,RENFEW,16053,PA,854 EVANS CITY RD,RENFEW,16053,4192773,EDWARD TANSKI,OWNER,854 EVANS CITY RD RENFEW PA 16053,854 EVANS CITY RD RENFEW PA 16053
SMART FUEL GAUGE,CORPORATION,PA,425 NORWAY STREET,YORK,17403,PA,415 NORWAY STREET,YORK,17403,4192774,"SOLAR SECURED SOLUTIONS, LLC",OWNER,415 NORWAY STREET YORK PA 17403 YORK,425 NORWAY STREET YORK PA 17315
TSS PHOTOGRAPHY OF SOUTHWESTERN PA,CORPORATION,PA,333 WARRICK DRIVE,SEVEN FIELDS,16046,PA,333 WARRICK DRIVE,SEVEN FIELDS,16046,4192775,"WHEELER IMAGES, LLC",OWNER,333 WARRICK DRIVE SEVEN FIELDS PA 16046 BUTLER,333 WARRICK DRIVE SEVEN FIELDS PA 16046
"COMPREHENSIVE BEHAVIORAL HEALTH SERVICES, LLC",LLC,PA,,,,PA,5543 HAYS STREET,PITTSBURGH,15206,4192776,,,5543 HAYS STREET PITTSBURGH PA 15206 ALLEGHENY,
KOVACS WEALTH MANAGEMENT,CORPORATION,PA,25 CHARLES ST,UNIONTOWN,15401,PA,"TWO WEST MAIN STREET, SUITE 140",UNIONTOWN,15401,4192777,MARK A KOVACS,OWNER,"TWO WEST MAIN STREET, SUITE 140 UNIONTOWN PA 15401 FAYETTE",25 CHARLES ST UNIONTOWN PA 15401
WHERE DID U GET THAT,CORPORATION,PA,2442 STONE HEATH DR,LANCASTER,17601,PA,2442 STONE HEATH DR,LANCASTER,17601,4192778,CATHY M PAVLATOS,OWNER,2442 STONE HEATH DR LANCASTER PA 17601 LANCASTER,2442 STONE HEATH DR LANCASTER PA 17601
ZOMBIE BRAZILIAN JIU-JITSU,CORPORATION,PA,"403 RIVER DRIVE, APT 101",ALLENTOWN,18109,PA,1268 N IRVING STREET,ALLENTOWN,18109,4192779,JEREMY HENDERSON,OWNER,1268 N IRVING STREET ALLENTOWN PA 18109 LEHIGH,"403 RIVER DRIVE, APT 101 ALLENTOWN PA 18109"
BETTY'S DELI AND FUNDRAISING,CORPORATION,PA,4343 HILLSIDE ROAD,COPLAY,18052,PA,4117 MAIN STREET,WHITEHALL,18052,4192780,BETTY REINHART,OWNER,4117 MAIN STREET WHITEHALL PA 18052 LEHIGH,4343 HILLSIDE ROAD COPLAY PA 18037
HIGH POINT DELIVERY,CORPORATION,PA,201 LAKESIDE PARK ROAD,FRANKLINVILLE,27248,NC,201 LAKESIDE PARK ROAD,FRANKLINVILLE,27248,4192781,JOHNATHAN FREEMAN,OWNER,201 LAKESIDE PARK ROAD FRANKLINVILLE NC 27248,201 LAKESIDE PARK ROAD FRANKLINVILLE NC 27248
OAD SYSTEMS,CORPORATION,PA,1064 KINGS ROW RD,OXFORD,19363,PA,1064 KINGS ROW ROAD,OXFORD,19363,4192782,"OAD CONSULTING, INC.",OWNER,1064 KINGS ROW ROAD OXFORD PA 19363 CHESTER,1064 KINGS ROW RD OXFORD PA 19363-0
BALANCED POSSIBILITIES,CORPORATION,PA,130 OLD 92,TUNKHANNOCK,18657,PA,130 OLD 92,TUNKHANNOCK,18657,4192783,NELSON H VAN FLEET,OWNER,130 OLD 92 TUNKHANNOCK PA 18657 WYOMING,130 OLD 92 TUNKHANNOCK PA 18657
YORK COUNTY PIAA SOFTBALL OFFICIALS,CORPORATION,PA,2404 BROOKMAR DR,YORK,17408,PA,2404 BROOKMAR DR,YORK,17408,4192784,GEORGE J MCLAUGHLIN,OWNER,2404 BROOKMAR DR YORK PA 17408 YORK,2404 BROOKMAR DR YORK PA 17408
SUSQUEHANNA HEALTH SKILLED NURSING & REHABILITATION CENTER,CORPORATION,PA,215 E WATER ST,MUNCY,17756,PA,215 EAST WATER STREET,MUNCY,17756,4192785,MUNCY VALLEY HOSPITAL,OWNER,215 EAST WATER STREET MUNCY PA 17756 LYCOMING,215 E WATER ST MUNCY PA 17756-0
CIERRACOM SYSTEMS,CORPORATION,PA,"250 PILOT ROAD, SUITE 300",LAS VEGAS,89119,NV,"250 PILOT ROAD, SUITE 300",LAS VEGAS,89119,4192786,NOSVA LIMITED PARTNERSHIP,OWNER,"250 PILOT ROAD, SUITE 300 LAS VEGAS NV 89119","250 PILOT ROAD, SUITE 300 LAS VEGAS NV 89119"
CST INVESTMENTS,CORPORATION,PA,2001 HAMILTON STREET # 1709,PHILADELPHIA,19130,PA,"2001 HAMILTON STREET, #1709",PHILADELPHIA,19130,4192787,STEPHANIE LUONGO,OWNER,"2001 HAMILTON STREET, #1709 PHILADELPHIA PA 19130 PHILADELPHIA",2001 HAMILTON STREET # 1709 PHILADELPHIA PA 19130
SHIVA LADIES,CORPORATION,PA,712 YALE ROAD,BALA CYNWYD,19072,PA,350 SPRAGUE RD,PENN VALLEY,19072,4192788,SHELLEY MARINE,OWNER,350 SPRAGUE RD PENN VALLEY PA 19072 MONTGOMERY,712 YALE ROAD BALA CYNWYD PA 19004
BACKROAD PERMITS,CORPORATION,PA,420 TURKEY PATH ROAD MT,PLEASANT,15666,PA,420 TURKEY PATH ROAD MT,PLEASANT,15666,4192789,ADAM C MCCUNE,OWNER,420 TURKEY PATH ROAD MT PLEASANT PA 15666 WESTMORELAND,420 TURKEY PATH ROAD MT PLEASANT PA 15666
THE CHINA CELLAR,CORPORATION,PA,1018 S CHADWICK ST,PHILADELPHIA,19147,PA,"1241 CARPENTER STREET, #306",PHILADELPHIA,19147,4192790,BRIAN CAMPBELL,OWNER,"1241 CARPENTER STREET, #306 PHILADELPHIA PA 19147 PHILADELPHIA",1018 S CHADWICK ST PHILADELPHIA PA 19146
ENIGMA ON 7,CORPORATION,PA,130 7TH STREET,PITTSBURGH,15222,PA,130 7TH STREET,PITTSBURGH,15222,4192791,"SEVEN ON SEVEN, LLC",OWNER,130 7TH STREET PITTSBURGH PA 15222 ALLEGHENY,130 7TH STREET PITTSBURGH PA 15222
ALLEBACH COMMUNICATIONS,CORPORATION,PA,117 N. MAIN STREET,SOUDERTON,18964,PA,117 N MAIN STREET,SOUDERTON,18964,4192792,"ALLEBACH ADVERTISING, LLC",OWNER,117 N MAIN STREET SOUDERTON PA 18964 MONTGOMERY,117 N. MAIN STREET SOUDERTON PA 18964
011 MOBILE,CORPORATION,PA,"250 PILOT ROAD, SUITE 300",LAS VEGAS,89119,NV,"250 PILOT ROAD, SUITE 300",LAS VEGAS,89119,4192793,NOSVA LIMITED PARTNERSHIP,OWNER,"250 PILOT ROAD, SUITE 300 LAS VEGAS NV 89119","250 PILOT ROAD, SUITE 300 LAS VEGAS NV 89119"
LATINA PRODUCTIONS,CORPORATION,PA,400 GARDEN CITY DR,MONROEVILLE,15235,PA,3105 CRAB HOLLOW ROAD,PITTSBURGH,15235,4192794,SAMARIA ARZOLA,OWNER,3105 CRAB HOLLOW ROAD PITTSBURGH PA 15235 ALLEGHENY,400 GARDEN CITY DR MONROEVILLE PA 15146
KAREN KLEAN,CORPORATION,PA,PO BOX 486,SAYLORSBURG,18353,PA,112 COUCH CIRCLE PO BOX 486,SAYLORSBURG,18353,4192795,KAREN KIMBLE,OWNER,112 COUCH CIRCLE PO BOX 486 SAYLORSBURG PA 18353 MONROE,PO BOX 486 SAYLORSBURG PA 18353
MAKING WAVES FAMILY SALON,CORPORATION,PA,22 BROOKWOOD DRIVE,LITITZ,17543,PA,22 BROOKWOOD DRIVE,LITITZ,17543,4192796,LISA M BARINGER,OWNER,22 BROOKWOOD DRIVE LITITZ PA 17543 LANCASTER,22 BROOKWOOD DRIVE LITITZ PA 17543
A AND G MOBILES,CORPORATION,PA,BOX 60971,HARRISBURG,17110,PA,1115 CHERRINGTON DRIVE,HARRISBURG,17110,4192797,ALBERT QUASHIGAH,OWNER,1115 CHERRINGTON DRIVE HARRISBURG PA 17110 DAUPHIN,BOX 60971 HARRISBURG PA 17106
B & M FASHION DESIGN,CORPORATION,PA,1120 WELLINGTON CIRCLE,LAURYS STATION,18102,PA,431 N JORDAN ST,ALLENTOWN,18102,4192798,MAREK MARKIEWICZ,OWNER,431 N JORDAN ST ALLENTOWN PA 18102 LEHIGH,1120 WELLINGTON CIRCLE LAURYS STATION PA 18059
WHITE PINE LAWN & LANDSCAPE,CORPORATION,PA,200 OLD FRITZTOWN ROAD,SHILLINGTON,19607,PA,200 OLD FRITZTOWN ROAD,SHILLINGTON,19607,4192799,SCOTT ARTHUR KUNKLE,OWNER,200 OLD FRITZTOWN ROAD SHILLINGTON PA 19607 BERKS,200 OLD FRITZTOWN ROAD SHILLINGTON PA 19607
SLEEP INN OF BEAVER FALLS,CORPORATION,PA,3 WESTCHESTER COURT,MCKEES ROCKS,15136,PA,3 WESTCHESTER COURT,MCKEES ROCKS,15136,4192800,"HOTEL ENTERPRISES, LLC",OWNER,3 WESTCHESTER COURT MCKEES ROCKS PA 15136 ALLEGHENY,3 WESTCHESTER COURT MCKEES ROCKS PA 15136
UPSCALE DOWNSIZED,CORPORATION,PA,885 MARKMAN PARK RD,BADEN,15005,PA,885 MARKMAN PARK ROAD,BADEN,15005,4192801,LINDA GERBER,OWNER,885 MARKMAN PARK ROAD BADEN PA 15005 BEAVER,885 MARKMAN PARK RD BADEN PA 15005
2VAPED,CORPORATION,PA,5789 STATE RT 247,CLIFFORD,18504,PA,1015 LAFAYETTE STREET,SCRANTON,18504,4192802,KYLE CALABRO,OWNER,1015 LAFAYETTE STREET SCRANTON PA 18504 LACKAWANNA,5789 STATE RT 247 CLIFFORD PA 18427
S.O.S WATER HEATERS,CORPORATION,PA,640 CIRCLE DRIVE,BELLE VERNON,15012,PA,640 CIRCLE DR,BELLE VERNON,15012,4192803,VINCENT CHURCH,OWNER,640 CIRCLE DR BELLE VERNON PA 15012 WESTMORELAND,640 CIRCLE DRIVE BELLE VERNON PA 15012
FORMELA CLEANING SERVICE,CORPORATION,PA,101 MELVIN AVENUE,MORRISVILLE,19067,PA,101 MELVIN AVENUE,MORRISVILLE,19067,4192804,JANINA FORMELA,OWNER,101 MELVIN AVENUE MORRISVILLE PA 19067 BUCKS,101 MELVIN AVENUE MORRISVILLE PA 19067
LAKESIDE DISTRIBUTOR,CORPORATION,PA,10358 STATE HIGHWAY 18,CONNEAUT LAKE,16316,PA,10358 STATE HIGHWAY 18,CONNEAUT LAKE,16316,4192805,WILLIAM J LENIGAN,OWNER,10358 STATE HIGHWAY 18 CONNEAUT LAKE PA 16316 CRAWFORD,10358 STATE HIGHWAY 18 CONNEAUT LAKE PA 16316
THE NEW GLADES AUCTION,CORPORATION,PA,175 NORTH HILLS ROAD,YORK,17406,PA,3409 DRUCK VALLEY ROAD,YORK,17406,4192806,"DRUCK VALLEY ROAD ANTIQUES, LLC",OWNER,3409 DRUCK VALLEY ROAD YORK PA 17406 YORK,175 NORTH HILLS ROAD YORK PA 17402
WILLOW PHOTOGRAPHY,CORPORATION,PA,200 SARAH ST,MILFORD,18337,PA,200 SARAH ST,MILFORD,18337,4192807,ASHLEY PANARO,OWNER,200 SARAH ST MILFORD PA 18337 PIKE,200 SARAH ST MILFORD PA 18337
TURNING TO TRUTH PUBLICATIONS,CORPORATION,PA,360 NORTH OAK AVENUE,CLIFTON HEIGHTS,19018,PA,360 NORTH OAK AVENUE,CLIFTON HEIGHTS,19018,4192808,GREATER PHILADELPHIA BAPTIST CHURCH INC.,OWNER,360 NORTH OAK AVENUE CLIFTON HEIGHTS PA 19018 DELAWARE,360 NORTH OAK AVENUE CLIFTON HEIGHTS PA 19018
PEDRO'S WINE COLLECTION,CORPORATION,PA,209 BUENA VISTA LN,WINFIELD,17889,PA,209 BUENA VISTA LN,WINFIELD,17889,4192809,PROTECOM WINES LLC,OWNER,209 BUENA VISTA LN WINFIELD PA 17889 UNION,209 BUENA VISTA LN WINFIELD PA 17889
LD TRUCKING,CORPORATION,PA,781 NEW SCHAEFFERSTOWN RD,BERNVILLE,19506,PA,781 NEW SCHAEFFERSTOWN RD,BERNVILLE,19506,4192810,STACEY DIDDEN,OWNER,781 NEW SCHAEFFERSTOWN RD BERNVILLE PA 19506 BERKS,781 NEW SCHAEFFERSTOWN RD BERNVILLE PA 19506
SILVERLEAN RICHARDSON-MORRISON-ROAN FAMILY REUNION,CORPORATION,PA,"27 SOUTH STERLEY STREET, APT 1",SHILLINGTON,19607,PA,"27 SOUTH STERLEY STREET, APT 1",SHILLINGTON,19607,4192811,DIANA MORRISON,OWNER,"27 SOUTH STERLEY STREET, APT 1 SHILLINGTON PA 19607 BERKS","27 SOUTH STERLEY STREET, APT 1 SHILLINGTON PA 19607"
SURFING PITONS,CORPORATION,PA,285 STONE RIDGE DR,NORRISTOWN,19403,PA,285 STONE RIDGE DR,NORRISTOWN,19403,4192812,"ALVORDEN, LLC",OWNER,285 STONE RIDGE DR NORRISTOWN PA 19403 MONTGOMERY,285 STONE RIDGE DR NORRISTOWN PA 19403
BUCKS MONT GUTTER DOME,CORPORATION,PA,416 DERSTINE RD.,HATFIELD,19440,PA,416 DERSTINE RD,HATFIELD,19440,4192813,MASTER'S CRAFT CONSTRUCTION LLC,OWNER,416 DERSTINE RD HATFIELD PA 19440 MONTGOMERY,416 DERSTINE RD. HATFIELD PA 19440
RECONSTRUCTIVE LIFESTYLE,CORPORATION,PA,1816 NORTH 3RD STREET,HARRISBURG,17102,PA,1816 NORTH 3RD STREET,HARRISBURG,17102,4192814,ANTONIO TUMEN,OWNER,1816 NORTH 3RD STREET HARRISBURG PA 17102 DAUPHIN,1816 NORTH 3RD STREET HARRISBURG PA 17102
C-B REMODELING,CORPORATION,PA,160 DOROTHY DR,CLINTON,15026,PA,160 DOROTHY DR,CLINTON,15026,4192815,WILLIAM CLYDE FLEET,OWNER,160 DOROTHY DR CLINTON PA 15026 BEAVER,160 DOROTHY DR CLINTON PA 15026
