name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
SOUTH HILLS ANSWERING SERVICE,CORPORATION,PA,,,,PA,1432 POTOMAC AVE,PITTSBURGH,,2466320,MARION WILSON,OWNER,1432 POTOMAC AVE PITTSBURGH PA 0 -0 ALLEGHENY,
SHEARER BROS.,CORPORATION,PA,,,,,,,,2466321,,,UNKNOWN MILLVALE PA 0 -0 ALLEGHENY,
SCULPTURE NAIL BOUTIQUE,CORPORATION,PA,,,,PA 19072-0 MONTGOMERY,836 MONTGOMERY AVE,NARBERTH,,2466322,ROSALINE FELDMAN,OWNER,836 MONTGOMERY AVE NARBERTH PA 19072-0 MONTGOMERY,
SMITH INSURANCE AGENCY,CORPORATION,PA,,,,,,,,2466323,,,UNKNOWN GREENSBURG PA 0 -0 WESTMORELAND,
SHENANGO STORE FIXTURE COMPANY,CORPORATION,PA,,,,,,,,2466324,SIMON BOSTOCKY,OWNER,UNKNOWN FARRELL PA 0 -0 MERCER,
KOUNTRY KITCHEN,CORPORATION,PA,,,,,,,,2466325,JOHN M REDSHAW,OWNER,R D 1 SMOCK PA 15480-0 FAYETTE,
"SHAY, SCHWARTZ AND ASSOCIATES",CORPORATION,PA,,,,PA,PACKARD BLDG 15TH & CHESTNUT STS,PHILADELPHIA,,2466326,HOWELL LEWIS SHAY JR,OWNER,PACKARD BLDG 15TH & CHESTNUT STS PHILADELPHIA PA 0 -0 PHILADELPHIA,
SHEARER BROS.,CORPORATION,PA,,,,,,,,2466327,,,UNKNOWN READING PA 0 -0 BERKS,
SHENANGO VALLEY AMBULANCE SERVICE,CORPORATION,PA,,,,PA,2050 HIGHLAND RD,SHARON,,2466328,RICHARD L CHRISTY,OWNER,2050 HIGHLAND RD SHARON PA 0 -0 MERCER,
SOUTH HILLS ART CENTER,CORPORATION,PA,,,,PA 15226-0 ALLEGHENY,1017 BROOKLINE BLVD,PITTSBURGH,,2466329,ROBERT M BALEY,OWNER,1017 BROOKLINE BLVD PITTSBURGH PA 15226-0 ALLEGHENY,
J. A. SMITH AND COMPANY,CORPORATION,PA,,,,,,,,2466330,MAHLON J SMITH,OWNER,R D 2 NEW OXFORD PA 0 -0 ADAMS,
SCULLION TRUCKING COMPANY,CORPORATION,PA,,,,,,,,2466331,WILLIAM STARK SCULLION,OWNER,ROUTE 16 SHENANGO ROAD BEAVER FALLS PA 0 -0 BEAVER,
SCHENK AND CLOFINE,CORPORATION,PA,,,,,,,,2466332,WILLIAM CLOFINE,OWNER,UNKNOWN PHILADELPHIA PA 0 -0 PHILADELPHIA,
SHAYNDEL HOUSE,CORPORATION,PA,,,,PA,1121 DUNDEE DR,DRESHER,,2466333,JANE SCHWARTZ,OWNER,1121 DUNDEE DR DRESHER PA 0 -0 MONTGOMERY,
JOSEPH A SIMONTON COMPANY,CORPORATION,PA,,,,,,,,2466334,,,UNKNOWN PITTSBURGH PA 0 -0 ALLEGHENY,
SHOW CASE OF HOMES,CORPORATION,PA,,,,,,,,2466335,DONALD D FREDERICK,OWNER,DON FREDERICK REALTOR ZACK BLDG WESCOSVILLE PA 0 -0 LEHIGH,
KOSMOS IMPORTING AND TRADE COMPANY,CORPORATION,PA,,,,,,,,2466336,ZENON O KOZNARSKY,OWNER,UNKNOWN PHILADELPHIA PA 0 -0 PHILADELPHIA,
J. J. SMITH ELECTRIC MOTOR COMPANY,CORPORATION,PA,,,,,,,,2466337,VALENTINE G SMITH,OWNER,UNKNOWN PHILADELPHIA PA 0 -0 PHILADELPHIA,
SOUTH HILLS AUTO CENTER,CORPORATION,PA,,,,PA 15210-0 ALLEGHENY,2400 BROWNSVILLE ROAD,PITTSBURGH,,2466338,SOUTH HILLS TIRE SERVICE INCORPARATED,OWNER,2400 BROWNSVILLE ROAD PITTSBURGH PA 15210-0 ALLEGHENY,
SHENANGO VALLEY CAMERA SHOP,CORPORATION,PA,,,,PA,70 W STATE ST,SHARON,16146-0,2466339,JACK'S REMBRANDT STUDIO AND CAME,OWNER,70 W STATE ST SHARON PA 16146-0 MERCER,
SHAYNE PHARMACY,CORPORATION,PA,,,,,,,,2466340,W L GOLDBERG,OWNER,UNKNOWN PHILADELPHIA PA 0 -0 PHILADELPHIA,
SIMPLEX CO-OPERATIVE SOCIETY,CORPORATION,PA,,,,,,,,2466341,,,UNKNOWN CONNEAUTVILLE PA 0 -0 CRAWFORD,
"SCULLIN, HURLEY & BUDD ASSOCIATES",CORPORATION,PA,,,,,,,,2466342,PATRICK D SCULLIN,OWNER,WESTOVER BLDG 649 S HENDERSON ROAD KING OF PRUSSIA PA 19406-0 MONTGOMERY,
J. J. SMITH ELECTRIC MOTOR COMPANY,CORPORATION,PA,,,,,,,,2466343,VALENTINE G SMITH,OWNER,UNKNOWN PHILADELPHIA PA 0 -0 PHILADELPHIA,
SHOW CONTROL CO.,CORPORATION,PA,,,,PA 15219-0 ALLEGHENY,UNITED STATES STEEL BLDG SUITE 657 600 GRANT ST,PITTSBURGH,,2466344,JOSEPH R LANDMAN,OWNER,UNITED STATES STEEL BLDG SUITE 657 600 GRANT ST PITTSBURGH PA 15219-0 ALLEGHENY,
SHOTTS LUMBER COMPANY,CORPORATION,PA,,,,,,,,2466345,,,UNKNOWN PITTSBURGH PA 0 -0 ALLEGHENY,
SHE,CORPORATION,PA,,,,PA 15904-0 CAMBRIA,RICHLAND MALL 3200 ELTON RD,JOHNSTOWN,,2466346,MICHAEL C PIEMONTE,OWNER,RICHLAND MALL 3200 ELTON RD JOHNSTOWN PA 15904-0 CAMBRIA,
SOUTH HILLS AUTO PARTS CO,CORPORATION,PA,,,,,,,,2466347,WILLIAM J BRADLEY ETAL,OWNER,UNKNOWN PITTSBURGH PA 0 -0 ALLEGHENY,
SACKS,CORPORATION,PA,,,,,,,,2466348,,,UNKNOWN PHILADELPHIA PA 0 -0 PHILADELPHIA,
SHENANGO VALLEY FINANCE COMPANY,CORPORATION,PA,,,,,,,,2466349,,,UNKNOWN SHARON PA 0 -0 MERCER,
SCULL NEEDLEPOINT CANVAS,CORPORATION,PA,,,,PA 19118-0 PHILADELPHIA,8611 GERMANTOWN AVE,PHILADELPHIA,,2466350,GRACE SCULL SAWYER,OWNER,8611 GERMANTOWN AVE PHILADELPHIA PA 19118-0 PHILADELPHIA,
SOUTH HILLS AUTO SALES,CORPORATION,PA,,,,,,,,2466351,HENRY BAER,OWNER,UNKNOWN PITTSBURGH PA 0 -0 ALLEGHENY,
J RAYMOND SMITH FURNITURE CO,CORPORATION,PA,,,,,,,,2466352,RAYMOND R SMITH,OWNER,UNKNOWN SHIPPENSBURG PA 0 -0 CUMBERLAND,
"SCHENK, WILLIAM & SONS",CORPORATION,PA,,,,,,,,2466353,WILLIAM SCHENK,OWNER,UNKNOWN PHILADELPHIA PA 0 -0 PHILADELPHIA,
EDWARD SHAY,CORPORATION,PA,,,,,,,,2466354,EDWARD A SIEKIERSKI,OWNER,UNKNOWN CHESTER PA 0 -0 DELAWARE,
SACKS,CORPORATION,PA,,,,,,,,2466355,,,UNKNOWN AMBRIDGE PA 0 -0 BEAVER,
SOUTH HILLS AUTO WRECKING,CORPORATION,PA,,,,,,,,2466356,,,BELTZHOOVER PITTSBURGH PA 0 -0 ALLEGHENY,
SHENANGO VALLEY PAINT CO,CORPORATION,PA,,,,,,,,2466357,,,UNKNOWN SHARON PA 0 -0 MERCER,
SHRECKENGOST LUMBER CO,CORPORATION,PA,,,,,,,,2466358,,,UNKNOWN MAHONING TWP PA 0 -0 CARBON,
SMITH-BEY CONTRACTORS DRY WALL & INSULATION SPECIALIST,CORPORATION,PA,,,,PA 19146-0 PHILADELPHIA,1245 S 18TH STREET,PHILADELPHIA,,2466359,TONI MADELINE SMITH,OWNER,1245 S 18TH STREET PHILADELPHIA PA 19146-0 PHILADELPHIA,
