name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
APPLE HOUSE ROAD,CORPORATION,PA,,,,,,,,2096372,CYNTHIA KNEPP,OWNER,RD#1 BOX 400D TOBYHANNA PA 18466-0 MONROE,
"FRANKLINTOWN PROPERTIES, INC.",CORPORATION,PA,224 BALTIMORE STREET,GETTYSBURG,,PA 17043-0 CUMBERLAND,1013 MUMMA RD,WORMLEYSBURG,,2096373,WAYNE D HILL,VICEPRESIDENT,1013 MUMMA RD WORMLEYSBURG PA 17043-0 CUMBERLAND,224 BALTIMORE STREET GETTYSBURG PA 17325-01
NEW LONDON SCHOLARSHIP SEARCH,CORPORATION,PA,,,,PA 19352-0 CHESTER,588 SAGINAW RD,LINCOLN UNIVERSITY,,2096374,LAWRENCE K WOODING,OWNER,588 SAGINAW RD LINCOLN UNIVERSITY PA 19352-0 CHESTER,
DIVERSIFIED SERVICES CONTRACTING,CORPORATION,PA,,,,PA 15666-0 FAYETTE,RD#2 BOX 384AA,MOUNT PLEASANT,,2096375,ROBERT F SMITLEY,OWNER,RD#2 BOX 384AA MOUNT PLEASANT PA 15666-0 FAYETTE,
UNITY ASSOCIATES,CORPORATION,PA,,,,PA,1323 APPLE BLOSSOM DR,YARDLEY,,2096376,JAMES B MARINNIE II,OWNER,1323 APPLE BLOSSOM DR YARDLEY PA 19067-0 BUCKS,
LE BUTLER'S PANTRY,CORPORATION,PA,,,,PA 19474-0 MONTGOMERY,4036,SKIPPACK,,2096377,LETITIA J SHAFFER,OWNER,4036 SKIPPACK PIKE SKIPPACK PA 19474-0 MONTGOMERY,
SECONDENT CORP.,CORPORATION,PA,C/O SYBEDON EQUITIES 891 AMSTERDAM AVE,NEW YORK,,,,,,2096378,BERTRAM LEWIS,PRESIDENT,% OBERMAYER REBMANN MAXWELL & HIPPEL PACKARD BLDG 14TH FL PHILA PA 19102-0 PHILADELPHIA,C/O SYBEDON EQUITIES 891 AMSTERDAM AVE NEW YORK NY 10025
SANTIAGO COMMUNICATIONS,CORPORATION,PA,,,,PA 15120-0 ALLEGHENY,1390 RAVINE ST,MUNHALL,,2096379,JESSE E SANTIAGO JR,OWNER,1390 RAVINE ST MUNHALL PA 15120-0 ALLEGHENY,
TURTLE TUBE SEA ANCHOR CO.,CORPORATION,PA,,,,PA 15145-0 ALLEGHENY,103D HARPER DR,TURTLE CREEK,,2096382,TURTLE TUBE COMPANY,OWNER,103D HARPER DR TURTLE CREEK PA 15145-0 ALLEGHENY,
THE MEADOW COTTAGE,CORPORATION,PA,,,,PA 18612-0 LUZERNE,477 MACHELL AVE,DALLAS,,2096383,JOAN C HILLER,OWNER,477 MACHELL AVE DALLAS PA 18612-0 LUZERNE,
SIXTH HOLDING CORP.,CORPORATION,PA,C/O SYBEDON EQUITIES 891 AMSTERDAM AVE,NEW YORK,,,,,,2096384,BERTRAM LEWIS,PRESIDENT,% OBERMAYER REBMANN MAXWELL & HIPPEL PACKARD BLDG 14TH FL PHILA PA 19102-0 PHILADELPHIA,C/O SYBEDON EQUITIES 891 AMSTERDAM AVE NEW YORK NY 10025
ALLEGHENY CHILD CARE ACADEMY,CORPORATION,PA,,,,PA 15222-0 ALLEGHENY,938 PENN AVE,PITTSBURGH,,2096385,MELISSA LEE KANIA,OWNER,938 PENN AVE PITTSBURGH PA 15222-0 ALLEGHENY,
TOPS MOTORS,CORPORATION,PA,,,,PA 15102-0 ALLEGHENY,5507 MAIN ST,BETHEL PARK,,2096386,JOSEPH A TAMBURO,OWNER,5507 MAIN ST BETHEL PARK PA 15102-0 ALLEGHENY,
FOREST GROVE MOTORS,CORPORATION,PA,,,,PA 15108-0 ALLEGHENY,2 FOREST GROVE RD,CORAOPOLIS,,2096387,MARY ELLEN SERETTI,OWNER,2 FOREST GROVE RD CORAOPOLIS PA 15108-0 ALLEGHENY,
L&W PARTNERSHIP,CORPORATION,PA,,,,PA 17331-0 YORK,226 GLENVILLE RD,HANOVER,,2096388,MARK A LANDGREN,OWNER,226 GLENVILLE RD HANOVER PA 17331-0 YORK,
THE RIGHT PICK,CORPORATION,PA,,,,PA 19468-0 MONTGOMERY,30 COUNTRY CLUB RD,LIMERICK,,2096389,CHARLIE RANTZ,OWNER,30 COUNTRY CLUB RD LIMERICK PA 19468-0 MONTGOMERY,
CNG PLUMBING,CORPORATION,PA,,,,PA 19350-0 CHESTER,543 ELBOW LANE,LANDENBERG,,2096390,GLENN SMITH,OWNER,543 ELBOW LANE LANDENBERG PA 19350-0 CHESTER,
BANCROFT DELI & MARKET,CORPORATION,PA,,,,PA 19145-0 PHILADELPHIA,1701 S BANCROFT ST,PHILA,,2096391,HARRIET M BLACKMORE,OWNER,1701 S BANCROFT ST PHILA PA 19145-0 PHILADELPHIA,
EL PAPAS GROCERY,CORPORATION,PA,,,,PA 19134-0 PHILADELPHIA,2803 N 2ND ST,PHILA,,2096393,ANGELA GERENA,OWNER,2803 N 2ND ST PHILA PA 19134-0 PHILADELPHIA,
CENTRAL PENNSYLVANIA ORTHOPEDIC & SPINAL ASSOCIATES INC.,CORPORATION,PA,STE 3 845 SIR THOMAS CT,HARRISBURG,,PA 17109-0 DAUPHIN,845 SIR THOMAS CT STE 3,HARRISBURG,,2096394,WALTER C PEPPELMAN,TREASURER,845 SIR THOMAS CT STE 3 HARRISBURG PA 17109-0 DAUPHIN,STE 3 845 SIR THOMAS CT HARRISBURG PA 17109-22
TRU KLEEN,CORPORATION,PA,,,,PA 19460-0 CHESTER,900 WOODLAWN AVE,PHOENIXVILLE,,2096395,PAUL V ESPOSITO,OWNER,900 WOODLAWN AVE PHOENIXVILLE PA 19460-0 CHESTER,
FLOWER FARM,CORPORATION,PA,,,,PA 18603-0 LUZERNE,RR 1 BOX 1426,BERWICK,,2096397,GEORGE BROODY JR,OWNER,RR 1 BOX 1426 BERWICK PA 18603-0 LUZERNE,
POWER TECH AUTO SOUND,CORPORATION,PA,,,,PA 19152-0 PHILADELPHIA,1904 TUSTIN AVE,PHILA,,2096398,JOSEPH J LEE,OWNER,1904 TUSTIN AVE PHILA PA 19152-0 PHILADELPHIA,
'SPRUCE IT' CLEANING SERVICES,CORPORATION,PA,,,,PA,5730 FRESHCORN RD,ZELIENOPLE,16063-0,2096399,CHAD E SMITH,OWNER,5730 FRESHCORN RD ZELIENOPLE PA 16063-0 BUTLER,
HOME HANDYMAN SERVICES,CORPORATION,PA,,,,PA,27 BAXTER RD,ROSEMONT,19010-1028,2096400,CHAS R SUTTER,OWNER,27 BAXTER RD ROSEMONT PA 19010-1028 DELAWARE,
AUNTIE SAL'S,CORPORATION,PA,,,,PA,644 FREEPORT RD,BUTLER,16001-0,2096401,SALLY SELL,OWNER,644 FREEPORT RD BUTLER PA 16001-0 BUTLER,
STAR DRIED FLOWERS,CORPORATION,PA,,,,PA 19087-0 CHESTER,565 E SWEDESFORD RD STE 307,WAYNE,,2096402,STEVEN SPECTOR ENTERPRISES INC,OWNER,565 E SWEDESFORD RD STE 307 WAYNE PA 19087-0 CHESTER,
ELECTRONIC MEDICAL CLAIMS SERVICE,CORPORATION,PA,,,,PA,879 RUTH AVE,ERIE,,2096403,WILLIAM R GIBBENS,OWNER,879 RUTH AVE ERIE PA 16509-0 ERIE,
ETC TEMPORARY & PERMANENT PLACEMENT SERVICES,CORPORATION,PA,,,,,,,,2096404,ETC OFFICE SYSTEMS SERVICES INC,OWNER,STRATH HAVEN CONDOMINIUMS G-3 YALE & HARVARD AVE SWARTHMORE PA 19081-0 DELAWARE,
MAIN STREET ITALIAN BAKERY,CORPORATION,PA,,,,PA,508 MAIN ST,STROUDSBURG,18360-0,2096405,ARVON BAKING COMPANY INC,OWNER,508 MAIN ST STROUDSBURG PA 18360-0 MONROE,
PENNSYLVANIA HEARTLAND FIREFIGHTER,CORPORATION,PA,,,,PA 17042-0 LEBANON,718 POPLAR ST,LEBANON,,2096406,THOMSON NEWSPAPERS (MICHIGAN) INC,OWNER,718 POPLAR ST LEBANON PA 17042-0 LEBANON,
