LEO ELEMENTARY SCHOOL,LEO,IN,14811 WAYNE ST,"https://les.eacs.k12.in.us/"
CASCADE SCHOOL,CASCADE,MT,321 CENTRAL AVE W,"https://www.cascade.k12.mt.us/"
GAVIN CENTRAL ELEMENTARY SCHOOL,INGLESIDE,IL,36414 N RIDGE RD,"https://www.gavin37.org/domain/32"
BELLEVILLE HIGH SCHOOL-EAST,BELLEVILLE,IL,2555 WEST BLVD,"https://website.bths201.org/index.php/schools/east"
WAWASEE MIDDLE SCHOOL,SYRACUSE,IN,9850 N SR 13,"https://www.wawasee.k12.in.us/wms"
NORTH HILLSBOROUGH,HILLSBOROUGH,CA,545 EUCALYPTUS AVE.,"https://www.hcsdk8.org/North"
COLD SPRINGS SCHOOL,GLOUCESTER CITY,NJ,1194 MARKET STREET,"http://css.gcsd.k12.nj.us/"
PS 99 ISAAC ASIMOV,BROOKLYN,NY,1120 E 10TH ST,"https://www.schools.nyc.gov/schools/K099"
ROOSEVELT ELEMENTARY SCHOOL,BELLINGHAM,WA,2900 YEW ST,"https://roosevelt.osd.wednet.edu/"
HONAUNAU ELEMENTARY SCHOOL,CAPTAIN COOK,HI,83-5360 MAMALAHOA HWY,"https://honaunauelementaryschool.weebly.com/"
RIDLEY HS,FOLSOM,PA,901 MORTON AVENUE,"http://ridleysdrhs.ss18.sharpschool.com/"
BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),BRONX,NY,2474 CROTONA AVE,"https://www.bronxsoftware.org/"
T W OGG EL,CLUTE,TX,208 N LAZY LN,"https://www.brazosportisd.net/schools/t__w__ogg_elementary"
DELAND-WELDON HIGH SCHOOL,DE LAND,IL,304 E IL ROUTE 10,"https://www.dwschools.org/"
TRIMBLE HIGH SCHOOL,GLOUSTER,OH,1 TOMCAT DR,"https://www.trimble.k12.oh.us/"
DESERT PINES HIGH SCHOOL,LAS VEGAS,NV,3800 HARRIS AVE.,"https://www.desertpineshs.org/"
FALMOUTH ELEMENTARY SCHOOL,FALMOUTH,ME,58 WOODVILLE ROAD,"http://falmouthschools.org/"
VERNON L BARKSTALL ELEMENTARY SCH,CHAMPAIGN,IL,2201 HALLBECK DR,"https://barkstall.champaignschools.org/"
AVELLA AREA JSHS,AVELLA,PA,1000 AVELLA RD,"https://www.avellasd.org/"
WILLIAM FOSTER ELEMENTARY SCHOOL,GARFIELD HEIGHTS,OH,12801 BANGOR AVE,"https://www.garfieldheightscityschools.com/williamfosterelementary_home.aspx"
PEDRO MELENDEZ SANTIAGO,SANTA ISABEL,PR,CALLE LIBERTAD BO PLAYITA CORTADA,"https://www.ancestry.com/1940-census/usa/Puerto-Rico/Pedro-Melendez-Santiago_5nvsxv"
ISMAEL MALDONADO LUGARO,PONCE,PR,4 CALLES BO SAN ANTON,"https://www.ancestry.com/1940-census/usa/Puerto-Rico/Ismael-Maldonado-Y-Lugaro_5p802p"
IUKA COMM CONS SCHOOL,IUKA,IL,405 S MAIN ST,"https://www.iukaschool.com/vnews/display.v/SEC/District"
TROY SHOREWOOD SCHOOL,SHOREWOOD,IL,210 SCHOOL RD,"https://www.troy30c.org/shorewood"
PS 46 ALLEY POND,BAYSIDE,NY,64-45 218TH ST,"https://www.schools.nyc.gov/schools/Q046"
ROY W. BROWN MIDDLE SCHOOL,BERGENFIELD,NJ,130 S WASHINGTON AVE,"https://www.bergenfield.org/domain/118"
S T E M ACADEMY,CALUMET CITY,IL,1650 PULASKI RD,"https://stemmagnetacademy.com/"
PEQUEA VALLEY HS,KINZERS,PA,4033 E NEWPORT RD,"https://www.pequeavalley.org/Domain/206"
LYDIA MIDDLETON ELEMENTARY SCHOOL,MADISON,IN,714 W MAIN ST,"https://www.madison.k12.in.us/lydia-home"
MILLIKIN ELEM SCHOOL,GENESEO,IL,920 S CONGRESS ST,"https://geneseoschools.org/milikin/"
T. BALDWIN DEMAREST ELEMENTARY SCHOOL,OLD TAPPAN,NJ,1 SCHOOL ST,"https://tbd.oldtappanschools.org/"
MINI-CASSIA JUVENILE DETENTION CENTER,RUPERT,ID,633 FREMONT,"https://www.minidoka.id.us/219/Juvenile-Detention"
PS 184 FLUSHING MANOR,WHITESTONE,NY,163-15 21ST RD,"https://ps184q.com/"
NORTHEAST MS,READING,PA,1216 N 13TH ST,"https://www.nesd1.org/schools/nems/index"
JOSEPH KEELS ELEMENTARY,COLUMBIA,SC,7500 SPRINGCREST DRIVE,"https://www.richland2.org/JKE"
OCEAN VIEW ELEMENTARY,NORFOLK,VA,9501 MASON CREEK RD,"https://www.npsk12.com/oves"
BRIDGE STREET MIDDLE SCHOOL,WHEELING,WV,19 JUNIOR AVE,"https://bsms.ohio.k12.wv.us/"
PURPLE SAGE ELEMENTARY,CALDWELL,ID,25709 EL PASO ROAD,"https://www.msd134.org/Domain/10"
PAUL L DUNBAR ELEMENTARY SCHOOL,CLEVELAND,OH,2159 WEST 29TH,"https://www.clevelandmetroschools.org/dunbar"
LINCOLNWAY EL SCH,YORK,PA,2625 WEST PHILADELPHIA ST,"https://www.wyasd.org/lincolnway-elementary"
MOSES LAKE HIGH SCHOOL,MOSES LAKE,WA,803 E. SHARON AVE.,"https://mlhs.mlsd161.org/"
MERIDIAN SPECIAL PROGRAMS,BELLINGHAM,WA,214 W LAUREL ROAD,"https://www.meridian.wednet.edu/special-education/"
CRUZ ROSA RIVAS,MANATI,PR,CARR 685 KM 1 HM 1 BO TIERRAS NUEVAS,"https://puertorico.hometownlocator.com/maps/feature-map,ftc,2,fid,1610392,n,escuela%20cruz%20rosa%20rivas.cfm"
BOND ELEM SCHOOL,CHICAGO,IL,7050 S MAY ST,"https://www.bondelementary.org/"
CLEAR SPRING MIDDLE,CLEAR SPRING,MD,12628 BROADFORDING RD,"http://wcpsmd.com/schools/middle-schools/clear-spring-middle"
BURR OAK ACADEMY,CALUMET PARK,IL,1441 W 124TH ST,"https://www.sd132.org/boa"
DU QUOIN HIGH SCHOOL,DU QUOIN,IL,500 E SOUTH ST,"https://www.duquoinschools.org/"
KNIGHT ELEMENTARY,RANDALL,MN,504 MINNESOTA AVE,"https://www.lfalls.k12.mn.us/dr-knight/"
EAST COLUMBUS ELEMENTARY SCHOOL,COLUMBUS,OH,3100 E. 7TH AVE,"https://www.ccsoh.us/eastcolumbuses"
GROVER HILL ELEMENTARY SCHOOL,GROVER HILL,OH,101 MONROE STREET,"https://www.waynetrace.org/groverhillelementary_home.aspx"
HANSEN JR/SR HIGH SCHOOL,HANSEN,ID,550 SOUTH MAIN STREET,"https://www.hansenschools.org/schools/hs"
MARY E FLAHERTY SCHOOL,BRAINTREE,MA,99 LAKESIDE DR,"https://www.braintreeschools.org/flaherty"
VICTOR ELEMENTARY SCHOOL,VICTOR,ID,43 EAST CENTER STREET,"https://ves.tsd401.org/"
TAYLORVILLE JR HIGH SCHOOL,TAYLORVILLE,IL,120 E BIDWELL ST,"http://tcusd3tjhs.ss19.sharpschool.com/"
TETON HIGH SCHOOL,DRIGGS,ID,555 ROSS AVE,"https://ths.tsd401.org/"
NORTHEAST ELEMENTARY SCHOOL,UPPER MONTCLAIR,NJ,603 GROVE ST,"https://northeast.montclair.k12.nj.us/"
JOHN F. PATTIE SR. ELEMENTARY,DUMFRIES,VA,16125 DUMFRIES ROAD,"https://pattiees.pwcs.edu/"
EASTERN ELEMENTARY SCHOOL,LEXINGTON,OH,155 CASTOR RD,"https://www.easternlocal.com/1/Home"
HERBERICH PRIMARY ELEMENTARY SCHOOL,FAIRLAWN,OH,2645 SMITH RD,"https://www.copley-fairlawn.org/Domain/282"
HUSMANN ELEM SCHOOL,CRYSTAL LAKE,IL,131 W PADDOCK ST,"https://www.d47.org/hus"
PS 111 SETON FALLS,BRONX,NY,3740 BAYCHESTER AVE,"https://www.schools.nyc.gov/schools/X111"
CUMBERLAND HIGH SCHOOL,TOLEDO,IL,1496 IL ROUTE 121,"https://www.cumberland.k12.il.us/o/chs"
EARLY CHILDHOOD,ELMHURST,IL,130 W MADISON ST,"https://www2.illinois.gov/sites/OECD/Pages/default.aspx"
VICTOR HIGH SCHOOL,VICTOR,MT,425 4TH AVENUE,"https://www.victor.k12.mt.us/"
WEST BOYD ELEMENTARY SCHOOL,BUTTE,NE,402 BUTTE ST,"https://www.atlantapublicschools.us/boyd"
WHITE CENTER HEIGHTS ELEMENTARY,SEATTLE,WA,11427 3RD AVE S,"https://wch.highlineschools.org/"
PS 58 SCHOOL OF HEROES,MASPETH,NY,72-24 GRAND AVE,"https://www.schools.nyc.gov/schools/Q058"
ROCK HILL SR HIGH SCHOOL,IRONTON,OH,2415 COUNTY ROAD 26,"https://www.rockhill.org/"
NATHANAEL GREENE ELEMENTARY,STANARDSVILLE,VA,8094 SPOTSWOOD TRAIL,"https://www.greenecountyschools.com/Domain/9"
GREGORY HEIGHTS ELEMENTARY,BURIEN,WA,16216 19TH AVE SW,"https://gregory.highlineschools.org/"
STOCKWELL ELEMENTARY SCHOOL,EVANSVILLE,IN,2501 N STOCKWELL RD,"https://stockwell.evscschools.com/"
SUNNY SLOPE ELEM SCHOOL,OMAHA,NE,10828 OLD MAPLE RD,"https://sunnyslope.ops.org/"
ALINE BINGHAM ELEMENTARY SCHOOL,RUNNEMEDE,NJ,100 FIRST & ORCHARD AVE,"https://bingham.runnemedeschools.org/"
HAWTHORN ELEM SCHOOL NORTH,VERNON HILLS,IL,301 W HAWTHORN PKWY,"https://en.hawthorn73.org/"
PARK ELEMENTARY,BALTIMORE,MD,201 EAST 11TH AVE,"https://www.aacps.org/park"
BIG WALNUT MIDDLE SCHOOL,SUNBURY,OH,105 BAUGHMAN ST,"https://www.bwls.net/bigwalnutmiddleschool_home.aspx"
FEDERAL WAY PUBLIC ACADEMY,FEDERAL WAY,WA,34620 9TH AV S,"https://www.fwps.org/Domain/45"
KENTRIDGE HIGH SCHOOL,KENT,WA,12430 SE 208TH ST,"https://www.kent.k12.wa.us/KR"
GREEN MOUNTAIN ELEMENTARY,BREMERTON,WA,3860 BOUNDARY TRAIL NW,"https://greenmountain.ckschools.org/"
SUMMIT HIGH SCHOOL,FLAGSTAFF,AZ,4000 N. CUMMINGS STREET,"https://www.summiths.com/"
EZRA MILLARD ELEMENTARY SCH,OMAHA,NE,14111 BLONDO ST,"https://ezra.mpsomaha.org/"
ANTONIO S PEDREIRA (PRE-TEC),CAGUAS,PR,CALLE 4 URB. VILLA DEL CARMEN,"https://www.schools-info.com/caguas-pr/antonio-s-pedreira-pre-tec/"
VERDUNVILLE ELEMENTARY SCHOOL,VERDUNVILLE,WV,RT. 5 HILL DRIVE,"https://wvde.state.wv.us/ed_directory/index.html?county_id=45&school_id=221"
RAMON MORALES PENA,BAYAMON,PR,URB RIVERVIEW CALLE 7 BLQ F,"https://www.mindat.org/feature-7269386.html"
